function,function,time_us
,time_us
Tempo por Loop, 38932.00000000
Tempo por Loop, 39918.00000000
Tempo por Loop, 40071.00000000
Tempo por Loop, 38268.00000000
Tempo por Loop, 40647.00000000
Tempo por Loop, 40266.00000000
Tempo por Loop, 39771.00000000
Tempo por Loop, 40361.00000000
Tempo por Loop, 40143.00000000
Tempo por Loop, 39089.00000000
Tempo por Loop, 39497.00000000
Tempo por Loop, 39533.00000000
Tempo por Loop, 38743.00000000
Tempo por Loop, 39347.00000000
Tempo por Loop, 39130.00000000
Tempo por Loop, 38753.00000000
Tempo por Loop, 40439.00000000
Tempo por Loop, 39128.00000000
Tempo por Loop, 38754.00000000
Tempo por Loop, 39114.00000000
Tempo por Loop, 39392.00000000
Tempo por Loop, 39337.00000000
Tempo por Loop, 41066.00000000
Tempo por Loop, 39099.00000000
Tempo por Loop, 39513.00000000
Tempo por Loop, 40967.00000000
Tempo por Loop, 39003.00000000
Tempo por Loop, 38956.00000000
Tempo por Loop, 50947.00000000
Tempo por Loop, 42429.00000000
Tempo por Loop, 43170.00000000
Tempo por Loop, 45305.00000000
Tempo por Loop, 44477.00000000
Tempo por Loop, 43499.00000000
Tempo por Loop, 43019.00000000
Tempo por Loop, 45233.00000000
Tempo por Loop, 41939.00000000
Tempo por Loop, 47845.00000000
Tempo por Loop, 42970.00000000
Tempo por Loop, 41694.00000000
Tempo por Loop, 53724.00000000
Tempo por Loop, 42276.00000000
Tempo por Loop, 44893.00000000
Tempo por Loop, 42543.00000000
Tempo por Loop, 45287.00000000
Tempo por Loop, 43274.00000000
Tempo por Loop, 41908.00000000
Tempo por Loop, 46087.00000000
Tempo por Loop, 42973.00000000
Tempo por Loop, 41105.00000000
Tempo por Loop, 41981.00000000
Tempo por Loop, 39485.00000000
Tempo por Loop, 41694.00000000
Tempo por Loop, 41827.00000000
Tempo por Loop, 40508.00000000
Tempo por Loop, 39972.00000000
Tempo por Loop, 41465.00000000
Tempo por Loop, 39859.00000000
Tempo por Loop, 40936.00000000
Tempo por Loop, 40842.00000000
Tempo por Loop, 39669.00000000
Tempo por Loop, 40425.00000000
Tempo por Loop, 41275.00000000
Tempo por Loop, 109254.00000000
Tempo por Loop, 44016.00000000
Tempo por Loop, 45188.00000000
Tempo por Loop, 44627.00000000
Tempo por Loop, 88812.00000000
Tempo por Loop, 44713.00000000
Tempo por Loop, 38575.00000000
Tempo por Loop, 38909.00000000
Tempo por Loop, 40845.00000000
Tempo por Loop, 39373.00000000
Tempo por Loop, 39361.00000000
Tempo por Loop, 37671.00000000
Tempo por Loop, 39088.00000000
Tempo por Loop, 38609.00000000
Tempo por Loop, 39389.00000000
Tempo por Loop, 38253.00000000
Tempo por Loop, 41005.00000000
Tempo por Loop, 38946.00000000
Tempo por Loop, 43070.00000000
Tempo por Loop, 38693.00000000
Tempo por Loop, 39345.00000000
Tempo por Loop, 40921.00000000
Tempo por Loop, 47016.00000000
Tempo por Loop, 37648.00000000
Tempo por Loop, 38423.00000000
Tempo por Loop, 40930.00000000
Tempo por Loop, 38612.00000000
Tempo por Loop, 38552.00000000
Tempo por Loop, 39992.00000000
Tempo por Loop, 38678.00000000
Tempo por Loop, 37540.00000000
Tempo por Loop, 47019.00000000
Tempo por Loop, 39666.00000000
Tempo por Loop, 37393.00000000
Tempo por Loop, 40195.00000000
Tempo por Loop, 39629.00000000
Tempo por Loop, 39008.00000000
Tempo por Loop, 37455.00000000
Tempo por Loop, 41178.00000000
Tempo por Loop, 38766.00000000
Tempo por Loop, 37800.00000000
Tempo por Loop, 40954.00000000
Tempo por Loop, 37597.00000000
Tempo por Loop, 38588.00000000
Tempo por Loop, 40103.00000000
Tempo por Loop, 38639.00000000
Tempo por Loop, 39669.00000000
Tempo por Loop, 39060.00000000
Tempo por Loop, 39327.00000000
Tempo por Loop, 39417.00000000
Tempo por Loop, 47310.00000000
Tempo por Loop, 41232.00000000
Tempo por Loop, 416333.00000000
Tempo por Loop, 44525.00000000
Tempo por Loop, 41973.00000000
Tempo por Loop, 43080.00000000
Tempo por Loop, 44415.00000000
Tempo por Loop, 43862.00000000
Tempo por Loop, 43919.00000000
Tempo por Loop, 44107.00000000
Tempo por Loop, 43937.00000000
Tempo por Loop, 41924.00000000
Tempo por Loop, 44911.00000000
Tempo por Loop, 42978.00000000
Tempo por Loop, 44155.00000000
Tempo por Loop, 43012.00000000
Tempo por Loop, 42592.00000000
Tempo por Loop, 45195.00000000
Tempo por Loop, 43503.00000000
Tempo por Loop, 43265.00000000
Tempo por Loop, 43885.00000000
Tempo por Loop, 44321.00000000
Tempo por Loop, 43003.00000000
Tempo por Loop, 46295.00000000
Tempo por Loop, 44368.00000000
Tempo por Loop, 42435.00000000
Tempo por Loop, 43319.00000000
Tempo por Loop, 44585.00000000
Tempo por Loop, 44377.00000000
Tempo por Loop, 44288.00000000
Tempo por Loop, 44029.00000000
Tempo por Loop, 43358.00000000
Tempo por Loop, 41897.00000000
Tempo por Loop, 47684.00000000
Tempo por Loop, 42528.00000000
Tempo por Loop, 50646.00000000
Tempo por Loop, 38993.00000000
Tempo por Loop, 38653.00000000
Tempo por Loop, 41494.00000000
