function,function,time_us
,time_us
Tempo por Loop, 22780.00000000
Tempo por Loop, 24352.00000000
Tempo por Loop, 23719.00000000
Tempo por Loop, 24134.00000000
Tempo por Loop, 23702.00000000
Tempo por Loop, 23251.00000000
Tempo por Loop, 26442.00000000
Tempo por Loop, 21184.00000000
Tempo por Loop, 22624.00000000
Tempo por Loop, 21144.00000000
Tempo por Loop, 27356.00000000
Tempo por Loop, 23086.00000000
Tempo por Loop, 24601.00000000
Tempo por Loop, 23231.00000000
Tempo por Loop, 21262.00000000
Tempo por Loop, 26511.00000000
Tempo por Loop, 21538.00000000
Tempo por Loop, 23328.00000000
Tempo por Loop, 24286.00000000
Tempo por Loop, 23057.00000000
Tempo por Loop, 23084.00000000
Tempo por Loop, 20666.00000000
Tempo por Loop, 26029.00000000
Tempo por Loop, 20955.00000000
Tempo por Loop, 25856.00000000
Tempo por Loop, 22558.00000000
Tempo por Loop, 21215.00000000
Tempo por Loop, 25810.00000000
Tempo por Loop, 22893.00000000
Tempo por Loop, 21221.00000000
Tempo por Loop, 24087.00000000
Tempo por Loop, 23125.00000000
Tempo por Loop, 22684.00000000
Tempo por Loop, 24379.00000000
Tempo por Loop, 22901.00000000
Tempo por Loop, 21392.00000000
Tempo por Loop, 23816.00000000
Tempo por Loop, 24206.00000000
Tempo por Loop, 29344.00000000
Tempo por Loop, 26456.00000000
Tempo por Loop, 23162.00000000
Tempo por Loop, 21225.00000000
Tempo por Loop, 24030.00000000
Tempo por Loop, 23144.00000000
Tempo por Loop, 24491.00000000
Tempo por Loop, 20903.00000000
Tempo por Loop, 26016.00000000
Tempo por Loop, 23053.00000000
Tempo por Loop, 21822.00000000
Tempo por Loop, 24961.00000000
Tempo por Loop, 23073.00000000
Tempo por Loop, 24732.00000000
Tempo por Loop, 23097.00000000
Tempo por Loop, 22561.00000000
Tempo por Loop, 24423.00000000
Tempo por Loop, 23076.00000000
Tempo por Loop, 21546.00000000
Tempo por Loop, 22942.00000000
Tempo por Loop, 26767.00000000
Tempo por Loop, 21604.00000000
Tempo por Loop, 26205.00000000
Tempo por Loop, 21677.00000000
Tempo por Loop, 24472.00000000
Tempo por Loop, 24466.00000000
Tempo por Loop, 23458.00000000
Tempo por Loop, 23136.00000000
Tempo por Loop, 21392.00000000
Tempo por Loop, 26545.00000000
Tempo por Loop, 21436.00000000
Tempo por Loop, 26894.00000000
Tempo por Loop, 22650.00000000
Tempo por Loop, 21314.00000000
Tempo por Loop, 23110.00000000
Tempo por Loop, 24466.00000000
Tempo por Loop, 23125.00000000
Tempo por Loop, 24593.00000000
Tempo por Loop, 23372.00000000
Tempo por Loop, 21938.00000000
Tempo por Loop, 23139.00000000
Tempo por Loop, 37656.00000000
Tempo por Loop, 24149.00000000
Tempo por Loop, 25107.00000000
Tempo por Loop, 28920.00000000
Tempo por Loop, 28979.00000000
Tempo por Loop, 23016.00000000
Tempo por Loop, 27696.00000000
Tempo por Loop, 20933.00000000
Tempo por Loop, 31712.00000000
Tempo por Loop, 22962.00000000
Tempo por Loop, 20777.00000000
Tempo por Loop, 25975.00000000
Tempo por Loop, 22640.00000000
Tempo por Loop, 21346.00000000
Tempo por Loop, 31995.00000000
Tempo por Loop, 21549.00000000
Tempo por Loop, 23595.00000000
Tempo por Loop, 25114.00000000
Tempo por Loop, 22980.00000000
Tempo por Loop, 23691.00000000
Tempo por Loop, 24434.00000000
Tempo por Loop, 22974.00000000
Tempo por Loop, 21543.00000000
Tempo por Loop, 23215.00000000
Tempo por Loop, 24325.00000000
Tempo por Loop, 22688.00000000
Tempo por Loop, 23559.00000000
Tempo por Loop, 24326.00000000
Tempo por Loop, 22515.00000000
Tempo por Loop, 21151.00000000
Tempo por Loop, 25953.00000000
Tempo por Loop, 22868.00000000
Tempo por Loop, 24437.00000000
Tempo por Loop, 23013.00000000
Tempo por Loop, 21405.00000000
Tempo por Loop, 26356.00000000
Tempo por Loop, 23158.00000000
Tempo por Loop, 21099.00000000
Tempo por Loop, 26417.00000000
Tempo por Loop, 24214.00000000
Tempo por Loop, 21487.00000000
Tempo por Loop, 21587.00000000
Tempo por Loop, 26535.00000000
Tempo por Loop, 23073.00000000
Tempo por Loop, 21299.00000000
Tempo por Loop, 25980.00000000
Tempo por Loop, 21176.00000000
Tempo por Loop, 22548.00000000
Tempo por Loop, 24289.00000000
Tempo por Loop, 23262.00000000
Tempo por Loop, 24790.00000000
Tempo por Loop, 22962.00000000
Tempo por Loop, 22809.00000000
Tempo por Loop, 20741.00000000
Tempo por Loop, 26013.00000000
Tempo por Loop, 20960.00000000
Tempo por Loop, 26033.00000000
Tempo por Loop, 23263.00000000
Tempo por Loop, 22920.00000000
Tempo por Loop, 26182.00000000
Tempo por Loop, 22312.00000000
Tempo por Loop, 21172.00000000
Tempo por Loop, 20784.00000000
Tempo por Loop, 25827.00000000
Tempo por Loop, 22384.00000000
Tempo por Loop, 21031.00000000
Tempo por Loop, 27499.00000000
Tempo por Loop, 21105.00000000
Tempo por Loop, 28663.00000000
Tempo por Loop, 25325.00000000
Tempo por Loop, 22864.00000000
Tempo por Loop, 26072.00000000
Tempo por Loop, 22657.00000000
Tempo por Loop, 40455.00000000
Tempo por Loop, 24427.00000000
Tempo por Loop, 22919.00000000
Tempo por Loop, 21699.00000000
Tempo por Loop, 27161.00000000
Tempo por Loop, 23147.00000000
Tempo por Loop, 21294.00000000
Tempo por Loop, 26393.00000000
Tempo por Loop, 21427.00000000
Tempo por Loop, 23549.00000000
Tempo por Loop, 24543.00000000
Tempo por Loop, 22398.00000000
Tempo por Loop, 22601.00000000
Tempo por Loop, 20931.00000000
Tempo por Loop, 26040.00000000
Tempo por Loop, 21318.00000000
Tempo por Loop, 22863.00000000
Tempo por Loop, 24250.00000000
Tempo por Loop, 22912.00000000
Tempo por Loop, 26476.00000000
